,InvaCost_ID,Cost_ID,Repository,Reference_ID,Reference_title,Authors,Abstract,Publication_year,Language,Type_of_material,Previous_materials,Availability,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Common_name,Environment,Environment_IAS,HabitatVerbatim,Habitat,urbanArea,protectedArea,Island,Geographic_region,Official_country,State|Province|Administrative_area,Location,Spatial_scale,Period_of_estimation,Time_range,Probable_starting_year,Probable_ending_year,Probable_starting_year_adjusted,Probable_ending_year_adjusted,Occurrence,Raw_cost_estimate_original_currency,Min_Raw_cost_estimate_original_currency,Max_Raw_cost_estimate_original_currency,Raw_cost_estimate_2017_USD_exchange_rate,Raw_cost_estimate_2017_USD_PPP,Cost_estimate_per_year_original_currency,Cost_estimate_per_year_2017_USD_exchange_rate,Cost_estimate_per_year_2017_USD_PPP,Currency,Applicable_year,Type_of_applicable_year,Implementation,Acquisition_method,Impacted_sector,Type_of_cost,Type_of_cost_merged,Management_type,Method_reliability,Method_reliability_refined,Method_reliability_Explanation,Method_reliability_Expert_Name,Overlap,Benefit_value(s),Details,Initial contributors_names,Double-checking
10,IC_1.0_11,11,TC,559,The economic benefits of rabbit control in Australian temperate pastures by the introduction of rabbit haemorrhagic disease,Vere et al,,2004,English,Peer-reviewed article,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,,European (common) rabbit,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2004,Year,2004,Unspecified,2004.0,2004.0,Potentially ongoing,22900000.0,7100000.0,38700000.0,21855461.8129325,21772399.4012847,22900000.0,21855461.8129325,21772399.4012847,AUD,2004,Publication year,Observed,Report/Estimation,Agriculture,Damage-Loss,Damage,,High,,,,,no,Prior to the release of RHDV : Rabbits impose annual costs on wool producers in the temperate pasture areas of between 7.1 and 38.7 million Australian dollars (mA$) depending on their density,Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
11,IC_1.0_12,12,TC,559,The economic benefits of rabbit control in Australian temperate pastures by the introduction of rabbit haemorrhagic disease,Vere et al,,2004,English,Peer-reviewed article,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,,European (common) rabbit,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,15 years,Period,2004,2019,2004.0,2019.0,Potentially ongoing,110400000.0,18400000.0,202400000.0,105364322.451867,104963881.829774,7360000.0,7024288.16345778,6997592.12198494,AUD,2004,Publication year,Potential,Extrapolation,Agriculture,Damage-Loss,Damage,,High,,,,,yes,"18 400 000 - 97 300 000 (reducing rabbit costs by 25%, estimated at various pre-RHD rabbit densities)
36 900 000 - 202 400 000 (reducing rabbit costs by 50%, estimated at various pre-RHD rabbit densities)
""Reducing rabbit costs by 25% generated 15-year net present values (NPVs) between 18.4 and 97.3 mA$ at various pre-RHD rabbit densities. A 50% reduction in rabbit costs increased the total NPVs between 36.9 and 202.4 mA$.""",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
12,IC_1.0_13,13,TC,565,The economic importance of wild rabbits to rural production in Australia,ACIL Economics and Policy Pty Ltd.,,1996,English,Official report,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",No,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,,European (common) rabbit,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,1996,Year,1996,Unspecified,1996.0,1996.0,Potentially ongoing,600000000.0,,,733770636.148252,714718571.2395,600000000.0,733770636.148252,714718571.2395,AUD,1996,Publication year,Observed,Report/Estimation,Agriculture,Damage-Loss,Damage,,Low,,,,,no,"Prior to the release of RHDV : estimates by ACIL (1996) suggest that annual losses were in the order of $600 million. Of this total cost, $300 million was associated with wool production, $70 million for sheep-meat, $150 million for cattle and $80 million for crops.",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
13,IC_1.0_14,14,TC,441,Non-indigenous vertebrates in Australia,Bomford and Hart,,2002,English,Book chapter,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,,European (common) rabbit,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2000,Year,2000,Unspecified,2000.0,2000.0,Potentially ongoing,20000000.0,,,16505527.1882785,21713927.2472581,20000000.0,16505527.1882785,21713927.2472581,AUD,2000,Effective,Observed,Report/Estimation,Authorities-Stakeholders/Public and social welfare,Control/Research,Management,Mixed,Low,,,,,no,"Includes governments and landholders expenditures on control. Control and research cost estimates are likely to be very conservative as they do not fully account for salaried positions and associated infrastructure. 
The methodology is shortly presented at the begining of the paper, but no details on cost calculations or sources.",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
14,IC_1.0_15,15,TC,441,Non-indigenous vertebrates in Australia,Bomford and Hart,,2002,English,Book chapter,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,,European (common) rabbit,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2000,Year,2000,Unspecified,2000.0,2000.0,Potentially ongoing,5000000.0,,,4126381.79706963,5428481.81181451,5000000.0,4126381.79706963,5428481.81181451,AUD,2000,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Research,Management,Knowledge funding,Low,,,,,no,"Research costs. Control and research cost estimates are likely to be very conservative as they do not fully account for salaried positions and associated infrastructure. 
The methodology is shortly presented at the begining of the paper, but no details on cost calculations or sources.",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
15,IC_1.0_16,16,TC,441,Non-indigenous vertebrates in Australia,Bomford and Hart,,2002,English,Book chapter,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,,European (common) rabbit,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2000,Year,2000,Unspecified,2000.0,2000.0,Potentially ongoing,200000000.0,,,165055271.882785,217139272.472581,200000000.0,165055271.882785,217139272.472581,AUD,2000,Effective,Observed,Extrapolation,Agriculture,Damage-Loss,Damage,,Low,,,,,no,"The figures presented for agricultural damage costs are based on extrapolations of government agency estimates, landholder surveys and other information referenced in the text.
The methodology is shortly presented at the begining of the paper, but no details on cost calculations or sources.",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
16,IC_1.0_17,17,TC,2,Counting the Cost: Impact of Invasive Animals in Australia,McLeod,,2004,English,Official report,"Rolfe, J., & Windle, J. (2014). Public preferences for controlling an invasive species in public and private spaces. Land Use Policy, 41, 1–10. https://doi.org/10.1016/j.landusepol.2014.04.013",Yes,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,,European (common) rabbit,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2004,Year,2004,Unspecified,2004.0,2004.0,Potentially ongoing,88110000.0,,,84091036.6959599,83771445.9059909,88110000.0,84091036.6959599,83771445.9059909,AUD,2004,Publication year,Observed,Report/Estimation,Agriculture,Damage-Loss,Damage,,High,,,,,no,Agricultural production losses are included in this cost component. The gross margin per sheep or head of cattle sold is multiplied by the numbers in each region and the estimated reduced carrying capacity estimates. ABARE (2003) farm level statistic have been utilised to calculated production loss values (sheep $35.4 M + cattle $34.39 M + cropping industries $18.39 M),Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
17,IC_1.0_18,18,TC,441,Non-indigenous vertebrates in Australia,Bomford and Hart,,2002,English,Book chapter,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,,Feral pig,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2000,Year,2000,Unspecified,2000.0,2000.0,Potentially ongoing,5000000.0,,,4126381.79706963,5428481.81181451,5000000.0,4126381.79706963,5428481.81181451,AUD,2000,Effective,Observed,Report/Estimation,Authorities-Stakeholders/Public and social welfare,Control,Management,Post-invasion_management,Low,,,,,no,"Bomford and Hart (2002) estimated that landholders and the government spend $5 million per annum on pig control (both $2.5 M)
Control and research cost estimates are likely to be very conservative as they do not fully account for salaried positions and associated infrastructure.
The methodology is shortly presented at the begining of the paper, but no details on cost calculations or sources.",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
18,IC_1.0_19,19,TC,441,Non-indigenous vertebrates in Australia,Bomford and Hart,,2002,English,Book chapter,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,,Feral pig,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2000,Year,2000,Unspecified,2000.0,2000.0,Potentially ongoing,1500000.0,,,1237914.53912089,1628544.54354435,1500000.0,1237914.53912089,1628544.54354435,AUD,2000,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Research,Management,Knowledge funding,Low,,,,,no,"Bomford and Hart (2002) estimated that $1.5 million is spent on research
Control and research cost estimates are likely to be very conservative as they do not fully account for salaried positions and associated infrastructure.
The methodology is shortly presented at the begining of the paper, but no details on cost calculations or sources.",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
19,IC_1.0_20,20,TC,630,Wild Pigs: Environmental Pest or Economic Resource? ,Tisdell ,,1982,English,Book,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf
And Choquenot, D., McIlroy, J., & Koen, T. (1996). Managing vertebrate pests: feral pigs. Bureau of Resource Sciences, 1–171. Retrieved from http://adl.brs.gov.au/data/warehouse/mvpfpr9abr_001/mvpfpr9abr_0010111a/12953_pigguide.doc",No,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,,Feral pig,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,1982,Year,1982,Unspecified,1982.0,1982.0,Potentially ongoing,3500000.0,,,9017834.2163447,8538206.33803832,3500000.0,9017834.2163447,8538206.33803832,AUD,1982,Effective,Potential,Report/Estimation,Public and social welfare,Damage-Loss,Damage,,Low,,,,,no,"Recreational hunting is also regarded as having considerable commercial value and plays an important role in controlling feral pig numbers. It was estimated in 1982 there are 100,000 recreational hunters spending $45 million annually on hunting and related activities (Tisdell 1982). The same study suggests amateur hunting may reduce the feral pig population by 7.5 percent a year and deliver over $3.5 million in savings to landowners affected by feral pigs. As with other species, the net benefit of the game meat production is included as a commercial resource use value in the costing.

In Choquenot et al. : amateur shooters were producing an indirect benefit to landholders of $3.75 million annually (1982 values, a p p roximately equivalent to $8 million in 1 9 94–95 values)",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
20,IC_1.0_21,21,TC,441,Non-indigenous vertebrates in Australia,Bomford and Hart,,2002,English,Book chapter,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Canis lupus spp.,Dingo/feral dog,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2000,Year,2000,Unspecified,2000.0,2000.0,Potentially ongoing,16500000.0,,,13617059.9303298,17913989.9789879,16500000.0,13617059.9303298,17913989.9789879,AUD,2000,Effective,Potential,Report/Estimation,Authorities-Stakeholders/Public and social welfare,Control,Management,Post-invasion_management,Low,,,,,no,"Governments are estimated to spend at least $4 million on wild dog control annually and landholders probably spend at least $2.5 million in direct control plus maintenance of the wild dog control fence costs up to $10million per year.
Control and research cost estimates are likely to be very conservative as they do not fully account for salaried positions and associated infrastructure.
The methodology is shortly presented at the begining of the paper, but no details on cost calculations or sources.",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
21,IC_1.0_22,22,TC,441,Non-indigenous vertebrates in Australia,Bomford and Hart,,2002,English,Book chapter,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Canis lupus spp.,Dingo/feral dog,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2000,Year,2000,Unspecified,2000.0,2000.0,Potentially ongoing,1500000.0,,,1237914.53912089,1628544.54354435,1500000.0,1237914.53912089,1628544.54354435,AUD,2000,Effective,Observed,Report/Estimation,Authorities-Stakeholders,Research,Management,Knowledge funding,Low,,,,,no," A further $1.5 million dollars is invested in research
Control and research cost estimates are likely to be very conservative as they do not fully account for salaried positions and associated infrastructure.
The methodology is shortly presented at the begining of the paper, but no details on cost calculations or sources.",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
22,IC_1.0_23,23,TC,441,Non-indigenous vertebrates in Australia,Bomford and Hart,,2002,English,Book chapter,"McLeod, R. (2004). Counting the Cost: Impact of Invasive Animals in Australia, 2004. Canberra. Retrieved from https://www.pestsmart.org.au/wp-content/uploads/2010/03/CountingTheCost.pdf",Yes,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Canis lupus spp.,Dingo/feral dog,Terrestrial,Terrestrial,,,other,,Y,Oceania,Australia,,Diverse/Unspecified,Country,2000,Year,2000,Unspecified,2000.0,2000.0,Potentially ongoing,20000000.0,,,16505527.1882785,21713927.2472581,20000000.0,16505527.1882785,21713927.2472581,AUD,2000,Effective,Observed,Extrapolation,Agriculture,Damage-Loss,Damage,,Low,,,,,no,"Annual losses to agricultural production (mainly the pastoral industry) due to wild dogs are at least $20 million/year ; extrapolation based on Fleming, P., Corbett, L., Harden, R., and Thomson, P., Managing the Impacts of Dingoes and Other Wild Dogs. Bureau of Rural Sciences, Canberra, 2001, but no calculation are explained
The methodology is shortly presented at the begining of the paper, but no details on cost calculations or sources.",Christophe Diagne/Claire Assailly/Lise Nuninger,Yes
